"Subject","Age_No","Gender_No","Gender_Yes","Age_Yes","silence"
101,"0.5, 12.495, 30.554, 36.805, 60.502, 132.498, 150.504, 156.675, 204.495, 211.065, 270.507, 402.505, 408.503, 438.504, 456.496, 468.504, 528.506, 552.829, 564.624, 571.155, 576.499, 666.502, 690.505, 720.506, 750.506, 762.501, 780.507, 786.505, 792.502, 852.504, 864.499, 894.806","6.498, 43.322, 54.504, 78.494, 84.505, 180.518, 186.716, 198.497, 240.506, 252.515, 258.499, 301.241, 312.503, 330.495, 372.878, 378.502, 426.495, 432.506, 444.501, 504.503, 516.498, 624.772, 679.203, 684.507, 726.503, 732.767, 804.711, 816.519, 882.571, 906.495, 924.82, 930.605","18.506, 24.503, 48.507, 66.499, 72.71, 126.501, 144.507, 162.499, 168.497, 174.787, 192.5, 246.504, 288.5, 294.897, 324.498, 336.706, 343.01, 384.513, 414.5, 450.499, 462.507, 612.498, 636.714, 672.499, 744.496, 756.504, 774.496, 798.753, 810.495, 870.51, 912.505, 918.503","90.502, 96.5, 138.496, 264.496, 276.505, 282.502, 306.506, 318.5, 390.497, 396.495, 420.498, 498.505, 510.5, 522.602, 534.503, 540.501, 546.498, 559.187, 606.5, 618.495, 630.503, 642.498, 648.882, 654.507, 660.504, 738.498, 768.526, 822.956, 858.501, 877.08, 888.502, 900.497","102.497, 108.495, 114.506, 120.503, 216.503, 222.501, 228.498, 234.496, 348.501, 354.499, 360.496, 366.507, 474.502, 480.499, 486.497, 492.494, 582.497, 588.494, 594.505, 600.503, 696.502, 702.5, 708.497, 714.495, 828.501, 834.498, 840.496, 846.506"
102,"0.5, 12.388, 72.39, 90.382, 96.393, 138.389, 144.386, 150.384, 162.392, 264.389, 270.387, 276.384, 288.392, 306.385, 408.382, 432.385, 462.679, 468.383, 522.387, 564.383, 636.393, 642.39, 654.385, 666.393, 678.388, 756.382, 786.396, 798.405, 810.599, 852.382, 864.39, 918.394","42.389, 54.384, 84.518, 156.381, 192.393, 252.447, 258.392, 282.381, 342.65, 372.384, 396.387, 498.651, 504.382, 516.39, 528.385, 546.391, 558.385, 612.389, 618.387, 630.382, 648.388, 672.391, 726.381, 738.39, 762.393, 804.389, 822.408, 858.393, 870.388, 882.436, 900.388, 912.383","18.386, 24.383, 30.581, 78.387, 126.394, 180.464, 198.39, 204.388, 240.386, 312.382, 330.388, 390.389, 414.393, 426.388, 438.383, 456.388, 510.819, 540.393, 552.388, 576.618, 606.645, 624.384, 660.889, 684.386, 690.383, 732.659, 744.387, 768.39, 876.518, 888.393, 906.386, 930.389","6.391, 36.392, 48.386, 60.381, 66.392, 132.391, 168.389, 174.387, 186.382, 210.385, 246.983, 294.39, 300.387, 318.393, 324.391, 336.452, 378.688, 384.392, 402.384, 420.39, 444.393, 450.391, 534.382, 570.394, 720.384, 750.878, 774.388, 780.385, 792.394, 816.384, 894.391, 924.392","102.39, 108.388, 114.385, 120.383, 216.383, 222.393, 228.391, 234.388, 348.394, 354.391, 360.389, 366.386, 474.394, 480.392, 486.389, 492.387, 582.389, 588.4, 594.384, 600.381, 696.394, 702.392, 708.389, 714.387, 828.392, 834.389, 840.387, 846.384"
103,"0.509, 36.907, 60.497, 72.519, 90.498, 96.508, 174.502, 210.501, 246.499, 282.497, 330.503, 342.498, 384.507, 390.505, 402.5, 468.499, 516.505, 534.498, 552.517, 606.507, 618.995, 630.497, 648.929, 654.86, 660.498, 744.503, 750.5, 780.501, 804.504, 816.499, 883.124, 924.507","12.504, 18.568, 25.032, 126.509, 138.504, 150.499, 162.507, 168.611, 186.511, 192.508, 204.503, 318.508, 396.716, 408.497, 420.506, 432.554, 540.842, 558.941, 564.512, 570.589, 624.5, 636.508, 642.506, 666.509, 672.506, 768.506, 786.498, 792.509, 798.507, 876.5, 888.509, 900.504","30.883, 48.502, 67.161, 78.503, 84.687, 144.502, 156.497, 240.501, 252.509, 258.52, 264.504, 276.499, 306.567, 378.497, 414.508, 438.711, 450.506, 456.504, 510.508, 522.982, 678.504, 690.792, 720.499, 774.557, 810.515, 822.496, 864.505, 870.503, 906.501, 912.499, 918.563, 930.504","6.506, 42.611, 54.499, 132.627, 180.926, 198.506, 270.808, 288.508, 294.505, 300.503, 312.884, 324.506, 336.501, 372.512, 426.503, 444.562, 462.501, 498.499, 504.897, 528.5, 546.786, 576.507, 612.505, 684.515, 726.497, 732.508, 738.505, 756.498, 762.508, 852.497, 858.508, 894.693","102.506, 108.503, 114.501, 120.498, 216.498, 222.509, 228.506, 234.504, 348.509, 354.507, 360.504, 366.502, 474.51, 480.507, 486.504, 492.502, 582.504, 588.502, 594.499, 600.497, 696.509, 702.507, 708.504, 714.502, 828.507, 834.505, 840.502, 846.5"
104,"18.508, 36.5, 42.498, 60.863, 90.504, 150.586, 156.503, 168.498, 210.507, 240.508, 246.865, 264.498, 300.909, 312.504, 342.505, 372.785, 450.499, 498.506, 510.501, 534.504, 558.507, 606.5, 618.509, 660.904, 726.743, 744.842, 774.496, 786.504, 864.498, 882.504, 888.502, 930.497","0.502, 6.5, 12.497, 30.503, 126.503, 132.5, 138.497, 144.508, 174.509, 180.826, 192.501, 198.512, 252.503, 306.507, 318.502, 384.501, 390.578, 426.51, 432.507, 456.497, 504.503, 523.082, 540.768, 564.505, 642.499, 648.509, 654.507, 666.768, 690.505, 750.506, 798.806, 810.508","49.108, 66.594, 72.512, 78.509, 96.502, 162.501, 204.496, 258.5, 270.509, 282.503, 294.498, 324.499, 336.507, 397.242, 438.504, 516.498, 528.813, 552.496, 570.502, 612.524, 631.197, 673.232, 678.777, 720.519, 732.501, 762.501, 804.497, 822.503, 876.507, 894.499, 912.505, 924.686","24.505, 54.506, 84.507, 186.93, 276.506, 288.701, 330.497, 378.503, 402.506, 408.504, 414.501, 420.499, 444.502, 462.534, 468.505, 546.499, 576.633, 624.719, 636.501, 684.507, 738.685, 756.504, 768.499, 780.854, 792.502, 816.505, 852.503, 858.501, 870.509, 900.497, 906.654, 918.502","102.499, 108.497, 114.508, 120.505, 216.505, 222.502, 228.5, 234.497, 348.502, 354.5, 360.497, 366.508, 474.503, 480.5, 486.498, 492.508, 582.497, 588.508, 594.505, 600.503, 696.502, 702.5, 708.497, 714.508, 828.5, 834.498, 840.508, 846.506"
105,"18.523, 48.497, 66.503, 90.506, 126.505, 138.5, 144.51, 186.506, 199.061, 252.505, 264.793, 276.508, 288.557, 324.501, 342.747, 378.519, 396.498, 426.512, 456.499, 468.507, 504.506, 510.596, 552.499, 576.662, 624.509, 750.509, 786.52, 792.505, 810.51, 852.506, 894.502, 924.502","0.504, 12.499, 24.508, 30.505, 36.502, 78.498, 168.634, 210.509, 270.497, 318.504, 372.508, 384.503, 390.5, 408.506, 432.509, 462.51, 498.508, 570.505, 636.757, 654.509, 678.632, 720.508, 726.506, 738.621, 756.506, 780.736, 804.499, 816.508, 864.501, 876.509, 888.504, 906.51","42.5, 72.501, 84.509, 132.502, 150.508, 156.505, 162.943, 205.112, 240.51, 246.707, 258.502, 306.509, 312.506, 336.51, 402.509, 420.501, 444.504, 450.502, 522.498, 528.509, 540.504, 546.501, 564.507, 606.503, 612.5, 642.501, 672.502, 732.503, 768.501, 858.503, 882.547, 900.499","7.008, 54.508, 60.506, 97.237, 174.498, 180.509, 192.504, 282.506, 294.501, 300.631, 330.965, 414.504, 438.507, 516.501, 534.506, 558.51, 618.498, 630.506, 648.912, 660.507, 666.504, 684.51, 690.867, 744.671, 762.517, 774.499, 798.968, 822.532, 870.498, 912.507, 918.505, 930.513","102.501, 108.499, 114.51, 120.507, 216.507, 222.504, 228.502, 234.499, 348.505, 354.502, 360.5, 366.51, 474.505, 480.502, 486.5, 492.497, 582.5, 588.51, 594.508, 600.505, 696.505, 702.502, 708.5, 714.497, 828.503, 834.5, 840.498, 846.508"
106,"30.509, 48.622, 60.497, 66.508, 132.506, 144.501, 150.499, 192.508, 264.504, 270.502, 312.497, 330.85, 450.506, 462.501, 498.499, 552.503, 558.501, 606.507, 618.502, 630.497, 654.5, 672.506, 684.501, 756.497, 762.508, 774.636, 792.855, 804.504, 864.505, 882.498, 894.506, 924.507","6.506, 72.505, 90.497, 162.507, 168.505, 174.502, 180.5, 246.499, 276.779, 294.505, 300.502, 342.498, 384.507, 390.505, 402.5, 438.498, 522.502, 534.497, 541.268, 570.509, 576.613, 642.519, 648.503, 690.498, 738.505, 768.506, 817.018, 822.656, 876.5, 900.503, 906.501, 918.509","12.504, 24.499, 36.507, 42.518, 84.513, 204.503, 240.501, 252.509, 258.507, 282.71, 288.508, 372.739, 408.884, 420.505, 426.503, 456.517, 510.508, 516.505, 528.5, 546.999, 564.498, 661.004, 666.508, 678.877, 720.499, 732.507, 744.502, 780.501, 810.501, 852.497, 912.512, 931.264","0.509, 18.501, 54.513, 78.503, 96.762, 126.509, 138.611, 156.496, 186.497, 198.505, 210.5, 306.5, 318.788, 324.826, 336.501, 378.496, 396.502, 414.561, 432.5, 444.509, 468.498, 504.497, 612.505, 624.753, 636.508, 726.497, 750.5, 786.498, 798.533, 858.508, 870.729, 888.508","102.506, 108.503, 114.501, 120.498, 216.498, 222.509, 228.506, 234.504, 348.509, 354.506, 360.504, 366.501, 474.509, 480.507, 486.504, 492.502, 582.504, 588.501, 594.499, 600.496, 696.509, 702.507, 708.504, 714.502, 828.507, 834.504, 840.502, 846.499"
107,"6.503, 73.249, 126.506, 150.496, 180.497, 186.508, 198.503, 204.5, 294.503, 306.498, 318.506, 324.503, 330.501, 379.014, 408.508, 414.666, 438.509, 450.624, 558.659, 570.774, 576.505, 684.5, 691.03, 738.784, 744.501, 756.496, 774.502, 780.499, 810.5, 852.509, 894.505, 906.5","36.917, 90.508, 97.612, 132.504, 138.501, 264.502, 270.566, 300.5, 384.638, 391.329, 402.817, 420.503, 426.501, 462.499, 468.497, 498.497, 510.506, 540.746, 606.506, 648.675, 655.112, 678.502, 726.829, 732.506, 750.725, 762.507, 798.599, 822.509, 864.504, 876.499, 912.498, 918.508","12.501, 24.509, 30.506, 48.499, 60.507, 66.505, 162.505, 210.498, 240.499, 246.509, 252.853, 289.078, 312.508, 432.498, 444.507, 456.688, 504.522, 516.503, 522.807, 546.624, 552.501, 612.503, 624.498, 672.505, 720.498, 786.684, 792.508, 858.507, 882.883, 888.761, 900.503, 924.599","0.506, 18.498, 42.981, 54.496, 78.5, 84.497, 144.499, 156.52, 168.502, 174.5, 193.158, 258.504, 276.497, 282.508, 336.498, 342.509, 372.51, 396.5, 528.498, 534.509, 564.496, 618.501, 630.695, 636.506, 642.504, 660.496, 666.694, 768.811, 804.503, 816.564, 870.502, 930.503","102.503, 108.5, 114.498, 120.509, 216.509, 222.506, 228.504, 234.501, 348.507, 354.504, 360.502, 366.499, 474.507, 480.505, 486.502, 492.5, 582.502, 588.5, 594.497, 600.508, 696.508, 702.505, 708.503, 714.5, 828.506, 834.504, 840.501, 846.499"
108,"7.188, 24.514, 66.737, 84.503, 192.604, 198.708, 246.502, 282.5, 330.507, 342.502, 372.503, 402.503, 408.501, 438.648, 450.497, 498.503, 528.558, 534.502, 607.525, 618.52, 624.504, 642.497, 720.504, 738.497, 762.5, 768.498, 780.506, 816.504, 852.503, 883.196, 894.658, 930.643","42.507, 54.502, 60.499, 78.505, 90.5, 126.499, 145.371, 150.822, 156.593, 162.497, 174.505, 180.503, 210.504, 294.509, 384.498, 420.509, 432.504, 456.508, 462.625, 468.503, 564.543, 570.62, 576.498, 636.726, 660.503, 690.503, 786.517, 804.509, 858.5, 864.857, 870.508, 906.507","12.506, 18.504, 30.499, 48.638, 132.509, 186.953, 204.506, 240.504, 264.534, 301.146, 306.504, 324.509, 396.506, 414.778, 444.499, 516.509, 522.507, 546.497, 612.509, 630.502, 648.841, 654.505, 666.5, 672.498, 750.505, 756.503, 798.512, 822.502, 888.501, 900.509, 918.502, 924.499","0.498, 36.683, 72.508, 96.498, 138.507, 168.508, 252.499, 258.897, 270.998, 276.503, 288.498, 312.501, 318.512, 336.504, 378.5, 390.509, 426.507, 504.501, 510.498, 540.499, 552.601, 558.505, 678.855, 684.506, 726.502, 732.819, 744.508, 774.508, 792.674, 810.507, 876.666, 912.504","102.509, 108.506, 114.504, 120.501, 216.501, 222.499, 228.509, 234.507, 348.499, 354.497, 360.508, 366.505, 474.513, 480.498, 486.508, 492.506, 582.508, 588.506, 594.503, 600.501, 696.501, 702.498, 708.509, 714.507, 828.499, 834.497, 840.508, 846.505"
109,"0.509, 12.837, 36.507, 54.5, 84.501, 126.496, 144.795, 193.135, 210.501, 246.499, 276.5, 343.352, 408.498, 432.501, 438.499, 444.496, 456.505, 546.507, 558.502, 564.5, 648.504, 654.502, 672.934, 684.503, 720.501, 750.502, 786.5, 792.497, 870.851, 906.503, 918.498, 924.509","24.512, 72.506, 90.525, 96.895, 150.5, 162.508, 174.503, 199.079, 204.504, 252.497, 270.503, 301.236, 306.501, 312.498, 336.502, 372.5, 504.498, 510.509, 517.106, 522.504, 528.501, 534.499, 552.505, 576.508, 612.506, 624.501, 642.507, 858.51, 876.502, 882.5, 894.508, 930.506","6.56, 30.497, 48.502, 78.503, 138.505, 288.508, 294.506, 324.507, 384.508, 396.69, 414.509, 427.49, 450.507, 468.5, 498.5, 540.496, 606.735, 618.517, 630.499, 660.499, 666.55, 738.507, 756.499, 763.096, 775.051, 780.502, 822.498, 852.499, 864.507, 888.91, 900.505, 912.5","18.502, 42.505, 60.497, 66.508, 132.507, 156.497, 168.505, 180.5, 186.511, 240.502, 258.508, 264.785, 282.498, 318.509, 330.504, 378.951, 390.506, 402.501, 421.28, 462.502, 570.497, 636.509, 678.505, 690.5, 726.605, 732.509, 744.504, 768.507, 798.508, 804.506, 810.89, 816.847","102.506, 108.504, 114.501, 120.499, 216.499, 222.496, 228.507, 234.504, 348.497, 354.508, 360.505, 366.502, 474.497, 480.508, 486.506, 492.503, 582.505, 588.503, 594.5, 600.498, 696.498, 702.508, 708.506, 714.503, 828.509, 834.506, 840.504, 846.501"
110,"78.498, 90.813, 126.505, 144.497, 150.508, 174.498, 192.504, 204.818, 282.506, 288.503, 294.701, 306.509, 312.507, 336.497, 444.864, 462.497, 504.506, 528.509, 552.499, 558.497, 624.936, 654.497, 660.507, 720.509, 750.696, 756.507, 768.502, 774.5, 781.017, 816.509, 888.772, 900.5","6.502, 30.505, 36.502, 66.503, 85.508, 132.782, 138.5, 180.509, 210.509, 240.497, 252.505, 264.5, 270.498, 300.498, 330.499, 342.507, 378.506, 396.871, 402.509, 414.504, 426.499, 498.509, 522.499, 618.498, 642.502, 744.499, 810.578, 864.502, 882.508, 894.503, 906.498, 930.501","0.504, 12.499, 18.59, 42.5, 54.508, 96.597, 162.503, 258.503, 318.504, 324.502, 384.503, 390.501, 420.501, 432.496, 450.502, 468.508, 510.504, 564.508, 570.505, 612.554, 630.52, 636.504, 672.502, 678.5, 684.497, 762.545, 786.561, 792.892, 798.503, 804.927, 918.519, 924.69","24.507, 48.497, 60.506, 72.501, 156.505, 168.5, 186.746, 198.501, 246.508, 276.508, 372.508, 408.506, 438.507, 456.5, 516.501, 534.68, 540.504, 546.502, 576.663, 606.503, 648.499, 666.505, 690.508, 727.12, 732.504, 738.501, 822.546, 852.507, 858.504, 870.499, 876.497, 912.562","102.501, 108.499, 114.496, 120.507, 216.507, 222.504, 228.502, 234.499, 348.505, 354.502, 360.5, 366.497, 474.505, 480.503, 486.5, 492.498, 582.5, 588.498, 594.508, 600.506, 696.506, 702.503, 708.501, 714.498, 828.504, 834.501, 840.499, 846.509"
111,"0.5, 6.498, 24.93, 48.507, 54.504, 84.505, 96.5, 156.595, 168.497, 186.502, 204.508, 240.506, 252.501, 288.5, 336.506, 408.503, 414.5, 426.508, 504.503, 510.5, 540.501, 546.498, 636.94, 667.208, 673.179, 690.505, 732.5, 768.499, 780.507, 804.497, 906.507, 912.878","12.509, 18.506, 30.501, 36.499, 162.499, 174.507, 246.504, 264.496, 276.505, 306.639, 342.504, 378.502, 390.497, 402.758, 444.834, 516.497, 528.506, 564.504, 570.768, 576.579, 606.5, 612.91, 618.508, 654.506, 726.503, 739.084, 787.091, 792.502, 798.499, 876.507, 882.504, 888.502","60.555, 78.508, 150.504, 180.505, 271.227, 282.715, 324.498, 330.615, 384.499, 450.498, 456.509, 462.507, 468.504, 498.918, 534.503, 558.507, 630.943, 648.509, 660.504, 679.483, 744.509, 750.506, 756.504, 816.505, 823.209, 852.503, 859.047, 870.509, 900.497, 918.502, 924.5, 930.497","42.509, 66.499, 72.497, 90.516, 126.501, 132.498, 138.509, 144.507, 192.566, 198.657, 210.506, 258.659, 294.497, 300.508, 312.503, 318.5, 372.504, 396.508, 420.498, 432.506, 438.957, 522.508, 552.509, 624.506, 642.498, 684.827, 720.505, 762.501, 774.509, 810.508, 864.498, 894.499","102.498, 108.508, 114.506, 120.503, 216.503, 222.501, 228.498, 234.509, 348.501, 354.499, 360.509, 366.507, 474.502, 480.499, 486.497, 492.508, 582.497, 588.507, 594.505, 600.502, 696.502, 702.5, 708.497, 714.508, 828.5, 834.498, 840.508, 846.506"
112,"6.503, 42.501, 54.496, 72.502, 78.5, 97.065, 138.501, 144.499, 156.507, 174.979, 180.497, 198.503, 205.073, 265.075, 300.5, 306.498, 319.226, 384.505, 402.831, 408.508, 426.501, 438.509, 444.52, 456.501, 546.504, 576.504, 643.143, 672.504, 762.666, 774.501, 870.501, 876.499","66.505, 126.506, 132.504, 168.502, 246.909, 270.499, 283.254, 288.838, 294.996, 312.535, 330.501, 342.509, 390.502, 414.506, 450.717, 510.639, 535.108, 540.706, 606.505, 612.503, 654.498, 660.509, 666.507, 738.557, 756.776, 769.397, 852.509, 858.506, 882.51, 888.72, 894.505, 924.519","19.085, 24.669, 30.786, 36.504, 84.497, 90.508, 150.496, 162.731, 210.564, 240.499, 252.507, 324.517, 336.498, 372.497, 378.507, 468.496, 498.497, 522.5, 528.498, 558.499, 564.496, 678.502, 690.497, 720.497, 744.501, 792.507, 798.611, 804.502, 864.504, 906.499, 918.508, 930.503","0.506, 12.501, 48.499, 60.92, 186.508, 192.505, 258.504, 276.497, 396.513, 420.503, 432.498, 462.499, 504.774, 516.756, 552.501, 570.507, 618.5, 624.498, 631.002, 636.972, 648.501, 684.499, 726.508, 732.506, 750.538, 780.499, 786.496, 810.5, 816.497, 822.508, 900.502, 912.897","102.503, 108.501, 114.498, 120.509, 216.509, 222.506, 228.504, 234.501, 348.507, 354.504, 360.502, 366.499, 474.507, 480.505, 486.502, 492.5, 582.502, 588.499, 594.497, 600.508, 696.508, 702.505, 708.502, 714.5, 828.505, 834.503, 840.5, 846.498"
113,"0.5, 18.506, 42.509, 132.498, 156.501, 174.507, 186.502, 198.497, 246.77, 264.509, 270.507, 282.981, 294.91, 300.667, 372.517, 396.507, 433.012, 444.5, 498.504, 516.63, 528.505, 534.502, 642.497, 678.682, 762.5, 781.345, 792.5, 822.501, 858.792, 882.622, 906.519, 918.501","6.498, 30.501, 48.507, 84.505, 90.502, 126.5, 144.506, 210.505, 252.741, 258.498, 324.497, 390.509, 402.504, 462.506, 468.836, 522.507, 546.497, 564.516, 606.499, 630.502, 660.502, 684.692, 690.503, 726.501, 786.503, 798.671, 804.642, 852.502, 864.617, 900.508, 924.645, 930.509","36.498, 67.019, 96.5, 150.824, 162.992, 168.656, 180.504, 204.508, 240.906, 276.504, 288.539, 318.633, 330.655, 342.61, 378.501, 384.499, 414.499, 438.503, 505.608, 510.792, 558.505, 570.5, 618.667, 636.499, 654.505, 666.593, 672.511, 744.507, 756.502, 774.508, 870.508, 888.5","12.508, 24.983, 54.504, 60.501, 72.496, 78.507, 138.522, 192.499, 306.505, 313.169, 336.932, 408.502, 420.497, 427.027, 450.498, 456.508, 540.5, 552.508, 576.498, 612.509, 624.504, 648.548, 720.504, 732.845, 738.51, 750.665, 768.91, 810.959, 816.504, 876.505, 894.497, 912.503","102.497, 108.508, 114.505, 120.503, 216.503, 222.5, 228.498, 234.508, 348.5, 354.498, 360.509, 366.506, 474.501, 480.498, 486.509, 492.506, 582.509, 588.506, 594.504, 600.501, 696.501, 702.498, 708.509, 714.506, 828.499, 834.509, 840.507, 846.504"
114,"30.507, 42.502, 54.496, 66.905, 84.497, 162.504, 240.498, 246.629, 264.595, 288.505, 300.5, 306.497, 330.82, 378.52, 396.499, 462.498, 468.509, 498.496, 504.507, 534.508, 546.716, 618.539, 624.497, 642.502, 654.497, 672.503, 720.496, 750.497, 792.506, 822.507, 894.503, 924.504","0.506, 12.501, 18.498, 36.504, 60.587, 90.508, 96.506, 150.523, 157.24, 186.508, 192.732, 270.499, 282.507, 372.509, 384.504, 408.508, 414.505, 432.511, 510.505, 570.506, 636.798, 660.508, 678.501, 732.691, 762.505, 774.807, 798.757, 864.502, 876.657, 888.506, 906.498, 930.501","6.503, 24.509, 48.499, 78.5, 126.506, 132.517, 138.555, 205.033, 210.498, 336.498, 342.509, 390.502, 420.503, 438.508, 444.986, 522.5, 540.505, 552.5, 558.711, 576.504, 606.504, 630.881, 666.506, 684.498, 726.907, 744.5, 804.501, 816.509, 852.508, 882.508, 912.722, 918.506","72.569, 144.512, 168.502, 174.499, 180.497, 198.716, 252.507, 258.504, 276.496, 294.502, 312.748, 318.705, 324.503, 402.977, 426.5, 450.503, 456.501, 516.502, 528.51, 564.509, 612.502, 648.5, 690.509, 738.809, 756.508, 768.503, 781.084, 787.068, 810.498, 858.505, 870.5, 900.501","102.503, 108.5, 114.498, 120.509, 216.508, 222.506, 228.503, 234.501, 348.506, 354.504, 360.501, 366.499, 474.507, 480.504, 486.501, 492.499, 582.501, 588.499, 594.509, 600.507, 696.506, 702.504, 708.501, 714.499, 828.504, 834.502, 840.499, 846.497"
115,"36.501, 42.498, 48.602, 54.506, 78.496, 180.507, 204.497, 306.507, 372.506, 396.496, 468.519, 516.499, 522.497, 540.503, 546.5, 630.651, 666.503, 678.498, 684.509, 690.506, 720.507, 744.737, 750.921, 768.5, 774.498, 780.509, 786.506, 792.504, 810.523, 816.507, 822.504, 888.503","0.502, 60.504, 90.505, 96.955, 132.5, 192.502, 210.508, 264.498, 276.507, 282.971, 300.497, 318.502, 378.504, 384.501, 402.507, 414.502, 420.5, 432.508, 444.756, 450.5, 456.844, 462.509, 504.504, 534.505, 552.498, 564.506, 612.499, 642.513, 852.505, 876.508, 906.509, 930.499","12.497, 18.508, 66.501, 72.499, 126.503, 138.498, 150.506, 156.517, 168.499, 240.508, 288.502, 294.499, 312.505, 336.508, 408.505, 426.497, 498.507, 510.848, 528.508, 570.503, 576.647, 618.59, 648.497, 654.521, 660.506, 726.505, 738.5, 804.499, 864.753, 900.565, 912.893, 918.504","6.5, 25.105, 30.503, 84.814, 144.509, 162.501, 174.509, 186.504, 198.499, 246.506, 252.503, 258.501, 270.509, 324.5, 330.497, 342.506, 390.499, 438.505, 558.508, 606.502, 624.921, 636.729, 672.501, 732.502, 756.972, 762.503, 798.581, 858.503, 870.498, 882.506, 894.501, 924.502","102.5, 108.497, 114.508, 120.505, 216.505, 222.503, 228.5, 234.511, 348.503, 354.501, 360.498, 366.509, 474.504, 480.501, 486.499, 492.509, 582.498, 588.509, 594.507, 600.504, 696.504, 702.501, 708.499, 714.496, 828.502, 834.499, 840.497, 846.508"
116,"30.501, 84.505, 90.542, 138.775, 162.925, 168.51, 186.502, 205.241, 210.505, 270.507, 336.506, 342.623, 444.501, 468.504, 516.95, 558.853, 606.499, 612.523, 618.507, 630.502, 648.508, 666.501, 672.498, 684.506, 690.504, 720.865, 738.99, 768.498, 798.499, 822.768, 864.498, 924.499","0.5, 42.509, 48.507, 96.5, 150.504, 156.528, 174.507, 198.59, 252.501, 258.499, 312.516, 330.802, 384.499, 396.627, 402.505, 414.5, 462.506, 498.505, 534.503, 540.5, 564.504, 570.501, 577.032, 624.505, 637.286, 642.497, 678.522, 726.502, 762.5, 792.501, 882.583, 906.906","6.831, 12.508, 54.504, 132.498, 180.505, 192.5, 246.504, 264.509, 288.499, 306.505, 390.51, 408.502, 420.497, 438.503, 450.498, 456.509, 510.499, 546.498, 552.509, 654.506, 660.503, 750.505, 780.506, 786.504, 804.509, 810.507, 816.504, 858.5, 900.509, 912.784, 918.502, 930.51","18.506, 24.503, 36.925, 61.008, 66.499, 72.51, 78.507, 126.501, 144.506, 240.506, 276.504, 282.502, 294.523, 300.801, 318.5, 324.498, 372.504, 378.502, 426.508, 432.506, 504.502, 522.508, 528.505, 732.5, 744.508, 756.823, 774.935, 852.503, 870.508, 876.506, 888.501, 894.672","102.497, 108.508, 114.506, 120.503, 216.503, 222.5, 228.498, 234.509, 348.501, 354.498, 360.509, 366.507, 474.501, 480.499, 486.51, 492.507, 582.509, 588.507, 594.504, 600.502, 696.501, 702.499, 708.51, 714.507, 828.499, 834.51, 840.508, 846.505"
