Subject,Tone1,Sem3,Age1,Accent1,Sem4,Gender1,silence
101,5.5,87.506,166.006,244.494,326.499,401.575,"61.498, 143.504, 222.004, 300.505, 382.924, 458.492"
102,5.5,162.487,240.988,394.497,87.492,319.541,"61.631, 143.49, 218.619, 297.386, 375.499, 450.494"
103,5.649,398.004,162.53,315.999,87.508,241.004,"61.501, 143.506, 218.501, 297.002, 371.997, 454.002"
104,394.522,316.021,162.499,80.521,241,5.499,"61.723, 136.518, 218.497, 296.998, 372.019, 450.52"
105,394.499,234.007,155.506,312.507,80.498,5.503,"61.501, 136.509, 211.504, 290.005, 368.505, 450.897"
106,166.009,87.509,398.005,5.503,322.997,248.001,"61.675, 144.093, 222.06, 303.999, 379.008, 454.003"
107,315.999,398.005,5.503,234.007,84.003,158.998,"61.501, 140.001, 214.996, 290.005, 371.998, 454.003"
108,5.503,241.005,162.505,319.519,401.498,87.522,"61.501, 143.561, 218.676, 297.003, 375.504, 457.51"
109,319.496,159.004,5.508,237.504,84.008,401.502,"61.506, 140.006, 215.002, 293.782, 375.908, 458.18"
110,162.497,5.497,83.997,319.498,244.503,401.504,"61.508, 140.008, 218.509, 300.501, 375.616, 457.515"
111,5.507,319.509,398.009,87.499,169.505,244.5,"61.505, 143.497, 225.503, 300.498, 375.507, 454.007"
112,156.3,397.998,237.506,316.006,80.505,5.656,"61.507, 136.503, 211.498, 293.504, 372.324, 453.996"
113,394.5,234.007,80.499,312.508,5.504,158.999,"61.501, 136.497, 214.997, 290.312, 368.692, 450.498"
114,240.999,323.004,162.498,5.498,401.504,87.503,"61.509, 143.501, 218.549, 296.996, 379.362, 457.502"
115,80.501,316.002,155.509,5.506,394.503,233.997,"61.504, 136.499, 211.507, 290.314, 372, 450.501"
116,241.001,323.007,5.5,84,166.019,401.507,"61.498, 139.998, 222.004, 297.399, 379.005, 457.505"